smiles,pIC50,activity_label
CC(C)[C@@H](Cl)[C@@H](NC(=O)[C@H](O)Cc1ccccc1)C(=O)N1[C@H](C(=O)NCc2ccc(C(=N)N)cc2)C[C@@H]2CCCC[C@@H]21,8.795880017344075,Active
CC(C)[C@H](Cl)[C@@H](NC(=O)[C@H](O)Cc1ccccc1)C(=O)N1[C@H](C(=O)NCc2ccc(C(=N)N)cc2)C[C@@H]2CCCC[C@@H]21,8.795880017344075,Active
CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3cc(C)ccn3)ccc21,8.790484985457368,Active
N=C(N)c1ccc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cc1,8.774690718274137,Active
COc1cc(C(=O)N2CC3CCN3C(=O)C2C)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.769551078621726,Active
NC(N)=NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1CCCCC1)C(=O)C[n+]1ccccc1,8.769551078621726,Active
N=C(N)c1ccc(CNC(=O)[C@@H]2CC=NN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cn1,8.769551078621726,Active
CCCC(CCC)C(=O)N[C@@H](CC(=O)OC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CC1CCCN(C(=N)N)C1,8.769551078621726,Active
COc1cc(C(=O)N2CC(C)(C)OCC2CO)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.769551078621726,Active
Cc1cc(CNC(=O)[C@@H]2C=CCN2C(=O)C(CC2CCCCC2)NCC(=O)O)sc1C(=N)N,8.75448733218585,Active
N=C(N)N1CCCC(C[C@@H](C=O)NC(=O)CN2CCCC[C@H](NS(=O)(=O)Cc3ccccc3)C2=O)C1,8.744727494896694,Active
CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3c(C)cccc3C)ccc21,8.742321425130816,Active
N/C(=N\O)N1CCC(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NS(=O)(=O)Cc2ccccc2)CC1,8.698970004336019,Active
COc1cc(C(=O)N2CC(C)OC[C@H]2CCO)cc2nc(N[C@H](CF)c3cccc(Cl)c3)oc12,8.698970004336019,Active
COCC(C)(C)C(=O)n1nc(-c2ccccn2)cc1NCc1ccc(Cl)s1,8.698970004336019,Active
N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)c1nccs1,8.698970004336019,Active
CC(C)(C)C(=O)n1nc(-c2cccnn2)cc1NCc1ccc(Cl)s1,8.698970004336019,Active
Nc1nccc2cc(CNC(=O)[C@@H]3CCCN3C(=O)[C@H](NC3CCCCC3)C3CCOCC3)ccc12,8.698970004336019,Active
N=C(N)N1CCC[C@H](NC(=O)CN2CCC[C@@](N)(Cc3ccccc3)C2=O)[C@H]1O,8.684029654543082,Active
N=C(N)N1CCC[C@H](NC(=O)CN2CCC[C@@](N)(Cc3ccccc3)C2=O)C1O.O=C(O)C(F)(F)F,8.684029654543082,Active
CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3cccc(C)c3)ccc21,8.671620396561263,Active
N=C(N)c1csc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)c1Cl,8.667561540084394,Active
CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3cccc(C)n3)ccc21,8.665546248849068,Active
Cc1cccc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)c1,8.645891560852599,Active
CC(C)(C)OC(=O)N[C@@H](CC(=O)O)C(=O)N1CCCC1C(=O)N[C@@H](CCCN=C(N)N)C(=O)C(=O)NCCc1ccccc1,8.638272163982407,Active
N#Cc1cnc(NCC(F)(F)c2ccccn2)c(=O)n1CC(=O)NCc1ncccc1F,8.638272163982407,Active
CCO[C@@H]1CC(CO)N(C(=O)c2cc(OC)c3oc(N[C@@H](CF)c4cccc(Cl)c4)nc3c2)C1,8.638272163982407,Active
Cc1ncc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)N[C@H]1CCCN(C(=N)N)C1O,8.6345120151091,Active
COc1cc(C(=O)N2CCC(O)C(C)C2)cc2nc(N[C@@H](CF)c3cccc(Cl)c3)oc12,8.619788758288394,Active
CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,8.58335949266172,Active
N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cc1,8.568636235841012,Active
N=C(N)c1csc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)c1,8.568636235841012,Active
CC[C@@H](C)[C@@H]1NC(=O)C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](C)NC(=O)Cc2ccccc2)CNC(=O)/C=C/[C@H](Cc2ccc(O)cc2)NC1=O,8.537602002101044,Active
